Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
organic-cotton-onesie-3-pack,Organic Cotton Onesie 3-Pack,"<p>Ultra-soft 100% organic cotton onesies. Gentle on delicate skin, easy snap closures.</p>",FlexiBaby,,Clothing,"baby, kids, clothing, onesies, organic, newborn, best-sellers, sale",true,Color,White/Grey/Pink,Size,0-3M,,,ORGANIC-001,200,shopify,deny,manual,24.99,32.00,true,true,https://images.unsplash.com/photo-1522771930-78848d9293e8?w=800&h=800&fit=crop,1,Organic Cotton Onesie 3-Pack,false,Organic Cotton Onesie 3-Pack,"Ultra-soft 100% organic cotton onesies. Gentle on delicate skin, easy snap closures.",active
organic-cotton-onesie-3-pack,,,,,,,true,Color,White/Grey/Pink,Size,3-6M,,,ORGANIC-002,200,shopify,deny,manual,24.99,32.00,true,true,,,,false,,,active
organic-cotton-onesie-3-pack,,,,,,,true,Color,White/Grey/Pink,Size,6-12M,,,ORGANIC-003,200,shopify,deny,manual,24.99,32.00,true,true,,,,false,,,active
organic-cotton-onesie-3-pack,,,,,,,true,Color,White/Grey/Blue,Size,0-3M,,,ORGANIC-004,200,shopify,deny,manual,24.99,32.00,true,true,,,,false,,,active
organic-cotton-onesie-3-pack,,,,,,,true,Color,White/Grey/Blue,Size,3-6M,,,ORGANIC-005,200,shopify,deny,manual,24.99,32.00,true,true,,,,false,,,active
organic-cotton-onesie-3-pack,,,,,,,true,Color,White/Grey/Blue,Size,6-12M,,,ORGANIC-006,200,shopify,deny,manual,24.99,32.00,true,true,,,,false,,,active
bamboo-muslin-swaddle-blankets,Bamboo Muslin Swaddle Blankets,"<p>Set of 3 breathable bamboo muslin swaddles. Soft, stretchy, and multi-purpose.</p>",FlexiBaby,,Bedding,"baby, kids, bedding, swaddle, bamboo, newborn, best-sellers",true,Pattern,Stars,,,,,BAMBOOM-001,200,shopify,deny,manual,29.99,,true,true,https://images.unsplash.com/photo-1519689680058-324335c77eba?w=800&h=800&fit=crop,1,Bamboo Muslin Swaddle Blankets,false,Bamboo Muslin Swaddle Blankets,"Set of 3 breathable bamboo muslin swaddles. Soft, stretchy, and multi-purpose.",active
bamboo-muslin-swaddle-blankets,,,,,,,true,Pattern,Animals,,,,,BAMBOOM-002,200,shopify,deny,manual,29.99,,true,true,,,,false,,,active
bamboo-muslin-swaddle-blankets,,,,,,,true,Pattern,Floral,,,,,BAMBOOM-003,200,shopify,deny,manual,29.99,,true,true,,,,false,,,active
silicone-teething-toy-set,Silicone Teething Toy Set,<p>BPA-free food-grade silicone teethers. Soothes sore gums with different textures.</p>,FlexiBaby,,Toys,"baby, kids, toys, teething, silicone, bpa-free, sale",true,Set,Fruit Set,,,,,SILICONE-001,200,shopify,deny,manual,14.99,18.00,true,true,https://images.unsplash.com/photo-1515488042361-ee00e0ddd4e4?w=800&h=800&fit=crop,1,Silicone Teething Toy Set,false,Silicone Teething Toy Set,BPA-free food-grade silicone teethers. Soothes sore gums with different textures.,active
silicone-teething-toy-set,,,,,,,true,Set,Animal Set,,,,,SILICONE-002,200,shopify,deny,manual,14.99,18.00,true,true,,,,false,,,active
convertible-baby-crib,Convertible Baby Crib,<p>Solid wood 4-in-1 convertible crib. Grows from crib to toddler bed to daybed.</p>,FlexiBaby,,Nursery,"baby, kids, nursery, crib, furniture, sale",true,Color,White,,,,,CONVERTI-001,200,shopify,deny,manual,299.99,380.00,true,true,https://images.unsplash.com/photo-1586005780370-4f8b37e2503a?w=800&h=800&fit=crop,1,Convertible Baby Crib,false,Convertible Baby Crib,Solid wood 4-in-1 convertible crib. Grows from crib to toddler bed to daybed.,active
convertible-baby-crib,,,,,,,true,Color,Natural Wood,,,,,CONVERTI-002,200,shopify,deny,manual,299.99,380.00,true,true,,,,false,,,active
convertible-baby-crib,,,,,,,true,Color,Grey,,,,,CONVERTI-003,200,shopify,deny,manual,299.99,380.00,true,true,,,,false,,,active
baby-monitor-with-camera,Baby Monitor with Camera,"<p>HD video baby monitor with night vision, two-way audio, and temperature sensor.</p>",FlexiBaby,,Safety,"baby, kids, safety, monitor, electronics, best-sellers",true,Type,Single Camera,,,,,BABYMON-001,200,shopify,deny,manual,79.99,,true,true,https://images.unsplash.com/photo-1515488042361-ee00e0ddd4e4?w=800&h=800&fit=crop,1,Baby Monitor with Camera,false,Baby Monitor with Camera,"HD video baby monitor with night vision, two-way audio, and temperature sensor.",active
baby-monitor-with-camera,,,,,,,true,Type,Dual Camera,,,,,BABYMON-002,200,shopify,deny,manual,79.99,,true,true,,,,false,,,active
gentle-baby-shampoo-wash,Gentle Baby Shampoo & Wash,<p>Tear-free organic baby shampoo and body wash. Lavender scented for calm bath time.</p>,FlexiBaby,,Bath,"baby, kids, bath, shampoo, gentle, organic",true,Size,200ml,,,,,GENTLEB-001,200,shopify,deny,manual,12.99,,true,true,https://images.unsplash.com/photo-1544367567-0f2fcb009e0b?w=800&h=800&fit=crop,1,Gentle Baby Shampoo & Wash,false,Gentle Baby Shampoo & Wash,Tear-free organic baby shampoo and body wash. Lavender scented for calm bath time.,active
gentle-baby-shampoo-wash,,,,,,,true,Size,400ml,,,,,GENTLEB-002,200,shopify,deny,manual,12.99,,true,true,,,,false,,,active
