Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
hydrating-vitamin-c-serum,Hydrating Vitamin C Serum,<p>Brightening vitamin C serum with hyaluronic acid. Reduces dark spots and boosts radiance.</p>,FlexiGlow,,Skincare,"beauty, skincare, skincare, serum, vitamin-c, best-sellers, sale",true,Size,15ml,,,,,HYDRATIN-001,200,shopify,deny,manual,38.99,48.00,true,true,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?w=800&h=800&fit=crop,1,Hydrating Vitamin C Serum,false,Hydrating Vitamin C Serum,Brightening vitamin C serum with hyaluronic acid. Reduces dark spots and boosts radiance.,active
hydrating-vitamin-c-serum,,,,,,,true,Size,30ml,,,,,HYDRATIN-002,200,shopify,deny,manual,38.99,48.00,true,true,,,,false,,,active
daily-moisturizer-spf-30,Daily Moisturizer SPF 30,<p>Lightweight daily moisturizer with broad-spectrum SPF 30. Hydrates and protects.</p>,FlexiGlow,,Skincare,"beauty, skincare, skincare, moisturizer, spf, daily, best-sellers",true,Type,Normal/Oily,,,,,DAILYMO-001,200,shopify,deny,manual,29.99,,true,true,https://images.unsplash.com/photo-1556228578-0d85b1a4d571?w=800&h=800&fit=crop,1,Daily Moisturizer SPF 30,false,Daily Moisturizer SPF 30,Lightweight daily moisturizer with broad-spectrum SPF 30. Hydrates and protects.,active
daily-moisturizer-spf-30,,,,,,,true,Type,Dry/Sensitive,,,,,DAILYMO-002,200,shopify,deny,manual,29.99,,true,true,,,,false,,,active
gentle-foaming-cleanser,Gentle Foaming Cleanser,<p>pH-balanced foaming cleanser that removes impurities without stripping moisture.</p>,FlexiGlow,,Skincare,"beauty, skincare, skincare, cleanser, gentle, sale",true,Size,120ml,,,,,GENTLEF-001,200,shopify,deny,manual,22.99,28.00,true,true,https://images.unsplash.com/photo-1556228720-195a672e8a03?w=800&h=800&fit=crop,1,Gentle Foaming Cleanser,false,Gentle Foaming Cleanser,pH-balanced foaming cleanser that removes impurities without stripping moisture.,active
gentle-foaming-cleanser,,,,,,,true,Size,200ml,,,,,GENTLEF-002,200,shopify,deny,manual,22.99,28.00,true,true,,,,false,,,active
matte-liquid-lipstick-set,Matte Liquid Lipstick Set,<p>Long-lasting matte liquid lipstick in 4 universally flattering shades. Cruelty-free.</p>,FlexiGlow,,Makeup,"beauty, skincare, makeup, lipstick, matte, sale",true,Set,Nudes,,,,,MATTELI-001,200,shopify,deny,manual,34.99,45.00,true,true,https://images.unsplash.com/photo-1586495777744-4413f21062fa?w=800&h=800&fit=crop,1,Matte Liquid Lipstick Set,false,Matte Liquid Lipstick Set,Long-lasting matte liquid lipstick in 4 universally flattering shades. Cruelty-free.,active
matte-liquid-lipstick-set,,,,,,,true,Set,Bold,,,,,MATTELI-002,200,shopify,deny,manual,34.99,45.00,true,true,,,,false,,,active
matte-liquid-lipstick-set,,,,,,,true,Set,Berry,,,,,MATTELI-003,200,shopify,deny,manual,34.99,45.00,true,true,,,,false,,,active
volumizing-mascara,Volumizing Mascara,<p>Buildable volumizing mascara for dramatic lashes. Smudge-proof and clump-free.</p>,FlexiGlow,,Makeup,"beauty, skincare, makeup, mascara, eyes",true,Color,Jet Black,,,,,VOLUMIZI-001,200,shopify,deny,manual,19.99,,true,true,https://images.unsplash.com/photo-1631214500115-598fc2cb8ada?w=800&h=800&fit=crop,1,Volumizing Mascara,false,Volumizing Mascara,Buildable volumizing mascara for dramatic lashes. Smudge-proof and clump-free.,active
