Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
classic-fit-cotton-t-shirt,Classic Fit Cotton T-Shirt,<p>Ultra-soft premium cotton t-shirt. Breathable and perfect for everyday wear.</p>,FlexiStyle,,Tops,"fashion, clothing, women, tops, cotton, best-sellers",true,Color,White,Size,S,,,CLASSIC-001,200,shopify,deny,manual,29.99,39.99,true,true,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=800&h=800&fit=crop,1,Classic Fit Cotton T-Shirt,false,Classic Fit Cotton T-Shirt,Ultra-soft premium cotton t-shirt. Breathable and perfect for everyday wear.,active
classic-fit-cotton-t-shirt,,,,,,,true,Color,White,Size,M,,,CLASSIC-002,200,shopify,deny,manual,29.99,39.99,true,true,,,,false,,,active
classic-fit-cotton-t-shirt,,,,,,,true,Color,White,Size,L,,,CLASSIC-003,200,shopify,deny,manual,29.99,39.99,true,true,,,,false,,,active
classic-fit-cotton-t-shirt,,,,,,,true,Color,White,Size,XL,,,CLASSIC-004,200,shopify,deny,manual,29.99,39.99,true,true,,,,false,,,active
classic-fit-cotton-t-shirt,,,,,,,true,Color,Black,Size,S,,,CLASSIC-005,200,shopify,deny,manual,29.99,39.99,true,true,,,,false,,,active
classic-fit-cotton-t-shirt,,,,,,,true,Color,Black,Size,M,,,CLASSIC-006,200,shopify,deny,manual,29.99,39.99,true,true,,,,false,,,active
classic-fit-cotton-t-shirt,,,,,,,true,Color,Black,Size,L,,,CLASSIC-007,200,shopify,deny,manual,29.99,39.99,true,true,,,,false,,,active
classic-fit-cotton-t-shirt,,,,,,,true,Color,Black,Size,XL,,,CLASSIC-008,200,shopify,deny,manual,29.99,39.99,true,true,,,,false,,,active
classic-fit-cotton-t-shirt,,,,,,,true,Color,Navy,Size,S,,,CLASSIC-009,200,shopify,deny,manual,29.99,39.99,true,true,,,,false,,,active
classic-fit-cotton-t-shirt,,,,,,,true,Color,Navy,Size,M,,,CLASSIC-010,200,shopify,deny,manual,29.99,39.99,true,true,,,,false,,,active
classic-fit-cotton-t-shirt,,,,,,,true,Color,Navy,Size,L,,,CLASSIC-011,200,shopify,deny,manual,29.99,39.99,true,true,,,,false,,,active
classic-fit-cotton-t-shirt,,,,,,,true,Color,Navy,Size,XL,,,CLASSIC-012,200,shopify,deny,manual,29.99,39.99,true,true,,,,false,,,active
slim-fit-denim-jeans,Slim Fit Denim Jeans,<p>Premium stretch denim jeans with modern slim fit for all-day comfort.</p>,FlexiStyle,,Bottoms,"fashion, clothing, women, jeans, denim, sale",true,Color,Blue,Size,28,,,SLIMFIT-001,200,shopify,deny,manual,59.99,79.99,true,true,https://images.unsplash.com/photo-1541099649105-f69ad21f3246?w=800&h=800&fit=crop,1,Slim Fit Denim Jeans,false,Slim Fit Denim Jeans,Premium stretch denim jeans with modern slim fit for all-day comfort.,active
slim-fit-denim-jeans,,,,,,,true,Color,Blue,Size,30,,,SLIMFIT-002,200,shopify,deny,manual,59.99,79.99,true,true,,,,false,,,active
slim-fit-denim-jeans,,,,,,,true,Color,Blue,Size,32,,,SLIMFIT-003,200,shopify,deny,manual,59.99,79.99,true,true,,,,false,,,active
