Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
artisan-dark-chocolate-box,Artisan Dark Chocolate Box,<p>Box of 12 single-origin dark chocolate truffles. Handcrafted by master chocolatiers.</p>,FlexiHarvest,,Snacks,"food, grocery, snacks, chocolate, artisan, gift, best-sellers, sale",true,Type,Dark 70%,,,,,ARTISAN-001,200,shopify,deny,manual,24.99,30.00,true,true,https://images.unsplash.com/photo-1621939514649-280e2ee25f60?w=800&h=800&fit=crop,1,Artisan Dark Chocolate Box,false,Artisan Dark Chocolate Box,Box of 12 single-origin dark chocolate truffles. Handcrafted by master chocolatiers.,active
artisan-dark-chocolate-box,,,,,,,true,Type,Assorted,,,,,ARTISAN-002,200,shopify,deny,manual,24.99,30.00,true,true,,,,false,,,active
artisan-dark-chocolate-box,,,,,,,true,Type,Sea Salt,,,,,ARTISAN-003,200,shopify,deny,manual,24.99,30.00,true,true,,,,false,,,active
premium-spice-collection,Premium Spice Collection,<p>Set of 8 organic whole spices in glass jars. Freshly sourced from around the world.</p>,FlexiHarvest,,Spices,"food, grocery, spices, collection, organic, best-sellers",true,Set,Global Kitchen,,,,,PREMIUM-001,200,shopify,deny,manual,34.99,,true,true,https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=800&h=800&fit=crop,1,Premium Spice Collection,false,Premium Spice Collection,Set of 8 organic whole spices in glass jars. Freshly sourced from around the world.,active
premium-spice-collection,,,,,,,true,Set,BBQ Master,,,,,PREMIUM-002,200,shopify,deny,manual,34.99,,true,true,,,,false,,,active
premium-spice-collection,,,,,,,true,Set,Indian Essentials,,,,,PREMIUM-003,200,shopify,deny,manual,34.99,,true,true,,,,false,,,active
organic-extra-virgin-olive-oil,Organic Extra Virgin Olive Oil,<p>Cold-pressed organic EVOO from small-batch Mediterranean farms. Rich and fruity.</p>,FlexiHarvest,,Oils,"food, grocery, oils, olive-oil, organic, cooking, sale",true,Size,250ml,,,,,ORGANIC-001,200,shopify,deny,manual,18.99,22.00,true,true,https://images.unsplash.com/photo-1474979266404-7f28db5c5e67?w=800&h=800&fit=crop,1,Organic Extra Virgin Olive Oil,false,Organic Extra Virgin Olive Oil,Cold-pressed organic EVOO from small-batch Mediterranean farms. Rich and fruity.,active
organic-extra-virgin-olive-oil,,,,,,,true,Size,500ml,,,,,ORGANIC-002,200,shopify,deny,manual,18.99,22.00,true,true,,,,false,,,active
organic-extra-virgin-olive-oil,,,,,,,true,Size,1L,,,,,ORGANIC-003,200,shopify,deny,manual,18.99,22.00,true,true,,,,false,,,active
mixed-nuts-trail-mix,Mixed Nuts & Trail Mix,<p>Premium roasted mixed nuts with dried fruits. No added sugar or preservatives.</p>,FlexiHarvest,,Snacks,"food, grocery, snacks, nuts, trail-mix, healthy",true,Flavor,Classic,Size,200g,,,MIXEDNU-001,200,shopify,deny,manual,14.99,,true,true,https://images.unsplash.com/photo-1621939514649-280e2ee25f60?w=800&h=800&fit=crop,1,Mixed Nuts & Trail Mix,false,Mixed Nuts & Trail Mix,Premium roasted mixed nuts with dried fruits. No added sugar or preservatives.,active
mixed-nuts-trail-mix,,,,,,,true,Flavor,Classic,Size,500g,,,MIXEDNU-002,200,shopify,deny,manual,14.99,,true,true,,,,false,,,active
mixed-nuts-trail-mix,,,,,,,true,Flavor,Tropical,Size,200g,,,MIXEDNU-003,200,shopify,deny,manual,14.99,,true,true,,,,false,,,active
mixed-nuts-trail-mix,,,,,,,true,Flavor,Tropical,Size,500g,,,MIXEDNU-004,200,shopify,deny,manual,14.99,,true,true,,,,false,,,active
mixed-nuts-trail-mix,,,,,,,true,Flavor,Dark Chocolate,Size,200g,,,MIXEDNU-005,200,shopify,deny,manual,14.99,,true,true,,,,false,,,active
mixed-nuts-trail-mix,,,,,,,true,Flavor,Dark Chocolate,Size,500g,,,MIXEDNU-006,200,shopify,deny,manual,14.99,,true,true,,,,false,,,active
organic-honey-raw-unfiltered,Organic Honey Raw Unfiltered,<p>Raw unfiltered wildflower honey from local apiaries. Rich flavor with natural enzymes.</p>,FlexiHarvest,,Sweeteners,"food, grocery, sweeteners, honey, organic, raw, sale",true,Size,250g,,,,,ORGANIC-001,200,shopify,deny,manual,16.99,20.00,true,true,https://images.unsplash.com/photo-1542838132-92c53300491e?w=800&h=800&fit=crop,1,Organic Honey Raw Unfiltered,false,Organic Honey Raw Unfiltered,Raw unfiltered wildflower honey from local apiaries. Rich flavor with natural enzymes.,active
organic-honey-raw-unfiltered,,,,,,,true,Size,500g,,,,,ORGANIC-002,200,shopify,deny,manual,16.99,20.00,true,true,,,,false,,,active
loose-leaf-tea-collection,Loose Leaf Tea Collection,"<p>Curated box of 6 organic loose-leaf teas from Japan, India, and China. 60 cups.</p>",FlexiHarvest,,Beverages,"food, grocery, beverages, tea, loose-leaf, organic, best-sellers",true,Set,Classic,,,,,LOOSELE-001,200,shopify,deny,manual,22.99,,true,true,https://images.unsplash.com/photo-1504674900247-0877df9cc836?w=800&h=800&fit=crop,1,Loose Leaf Tea Collection,false,Loose Leaf Tea Collection,"Curated box of 6 organic loose-leaf teas from Japan, India, and China. 60 cups.",active
loose-leaf-tea-collection,,,,,,,true,Set,Herbal,,,,,LOOSELE-002,200,shopify,deny,manual,22.99,,true,true,,,,false,,,active
