Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
mid-century-modern-sofa,Mid-Century Modern Sofa,<p>3-seater sofa with walnut tapered legs and tufted cushions. Timeless mid-century style.</p>,FlexiHome,,Living Room,"furniture, decor, living-room, sofa, mid-century, best-sellers, sale",true,Color,Grey,,,,,MIDCENT-001,200,shopify,deny,manual,699.99,850.00,true,true,https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=800&h=800&fit=crop,1,Mid-Century Modern Sofa,false,Mid-Century Modern Sofa,3-seater sofa with walnut tapered legs and tufted cushions. Timeless mid-century style.,active
mid-century-modern-sofa,,,,,,,true,Color,Navy,,,,,MIDCENT-002,200,shopify,deny,manual,699.99,850.00,true,true,,,,false,,,active
mid-century-modern-sofa,,,,,,,true,Color,Green,,,,,MIDCENT-003,200,shopify,deny,manual,699.99,850.00,true,true,,,,false,,,active
mid-century-modern-sofa,,,,,,,true,Color,Mustard,,,,,MIDCENT-004,200,shopify,deny,manual,699.99,850.00,true,true,,,,false,,,active
scandinavian-dining-table,Scandinavian Dining Table,<p>Solid oak dining table with clean lines. Seats 6 comfortably. Easy assembly.</p>,FlexiHome,,Dining,"furniture, decor, dining, table, scandinavian, wood, new-arrivals",true,Size,4-Seat,Finish,Natural Oak,,,SCANDINA-001,200,shopify,deny,manual,449.99,,true,true,https://images.unsplash.com/photo-1586023492125-27b2c045efd7?w=800&h=800&fit=crop,1,Scandinavian Dining Table,false,Scandinavian Dining Table,Solid oak dining table with clean lines. Seats 6 comfortably. Easy assembly.,active
scandinavian-dining-table,,,,,,,true,Size,4-Seat,Finish,Walnut,,,SCANDINA-002,200,shopify,deny,manual,449.99,,true,true,,,,false,,,active
scandinavian-dining-table,,,,,,,true,Size,6-Seat,Finish,Natural Oak,,,SCANDINA-003,200,shopify,deny,manual,449.99,,true,true,,,,false,,,active
scandinavian-dining-table,,,,,,,true,Size,6-Seat,Finish,Walnut,,,SCANDINA-004,200,shopify,deny,manual,449.99,,true,true,,,,false,,,active
upholstered-bed-frame-queen,Upholstered Bed Frame Queen,<p>Padded upholstered bed frame with wingback headboard. Noise-free slat support.</p>,FlexiHome,,Bedroom,"furniture, decor, bedroom, bed-frame, upholstered, sale",true,Color,Light Grey,Size,Queen,,,UPHOLSTE-001,200,shopify,deny,manual,399.99,480.00,true,true,https://images.unsplash.com/photo-1505693416388-ac5ce068fe85?w=800&h=800&fit=crop,1,Upholstered Bed Frame Queen,false,Upholstered Bed Frame Queen,Padded upholstered bed frame with wingback headboard. Noise-free slat support.,active
upholstered-bed-frame-queen,,,,,,,true,Color,Light Grey,Size,King,,,UPHOLSTE-002,200,shopify,deny,manual,399.99,480.00,true,true,,,,false,,,active
upholstered-bed-frame-queen,,,,,,,true,Color,Beige,Size,Queen,,,UPHOLSTE-003,200,shopify,deny,manual,399.99,480.00,true,true,,,,false,,,active
upholstered-bed-frame-queen,,,,,,,true,Color,Beige,Size,King,,,UPHOLSTE-004,200,shopify,deny,manual,399.99,480.00,true,true,,,,false,,,active
upholstered-bed-frame-queen,,,,,,,true,Color,Dark Grey,Size,Queen,,,UPHOLSTE-005,200,shopify,deny,manual,399.99,480.00,true,true,,,,false,,,active
upholstered-bed-frame-queen,,,,,,,true,Color,Dark Grey,Size,King,,,UPHOLSTE-006,200,shopify,deny,manual,399.99,480.00,true,true,,,,false,,,active
floating-wall-shelves-set,Floating Wall Shelves Set,<p>Set of 3 floating shelves in solid wood. Hidden bracket design for clean look.</p>,FlexiHome,,Home Decor,"furniture, decor, home-decor, shelves, floating, wall-mount, sale",true,Finish,Walnut,,,,,FLOATING-001,200,shopify,deny,manual,39.99,48.00,true,true,https://images.unsplash.com/photo-1513694203232-719a280e022f?w=800&h=800&fit=crop,1,Floating Wall Shelves Set,false,Floating Wall Shelves Set,Set of 3 floating shelves in solid wood. Hidden bracket design for clean look.,active
floating-wall-shelves-set,,,,,,,true,Finish,White,,,,,FLOATING-002,200,shopify,deny,manual,39.99,48.00,true,true,,,,false,,,active
floating-wall-shelves-set,,,,,,,true,Finish,Natural Oak,,,,,FLOATING-003,200,shopify,deny,manual,39.99,48.00,true,true,,,,false,,,active
accent-armchair-velvet,Accent Armchair Velvet,<p>Luxurious velvet accent chair with gold-finished legs. Statement piece for any room.</p>,FlexiHome,,Living Room,"furniture, decor, living-room, armchair, velvet, accent, best-sellers",true,Color,Emerald,,,,,ACCENTA-001,200,shopify,deny,manual,299.99,,true,true,https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=800&h=800&fit=crop,1,Accent Armchair Velvet,false,Accent Armchair Velvet,Luxurious velvet accent chair with gold-finished legs. Statement piece for any room.,active
accent-armchair-velvet,,,,,,,true,Color,Blush,,,,,ACCENTA-002,200,shopify,deny,manual,299.99,,true,true,,,,false,,,active
accent-armchair-velvet,,,,,,,true,Color,Navy,,,,,ACCENTA-003,200,shopify,deny,manual,299.99,,true,true,,,,false,,,active
accent-armchair-velvet,,,,,,,true,Color,Mustard,,,,,ACCENTA-004,200,shopify,deny,manual,299.99,,true,true,,,,false,,,active
industrial-bookshelf-5-tier,Industrial Bookshelf 5-Tier,"<p>Metal and wood industrial bookshelf. 5 tiers for books, plants, and display.</p>",FlexiHome,,Living Room,"furniture, decor, living-room, bookshelf, industrial, storage, sale",true,Finish,Black/Rustic,,,,,INDUSTRI-001,200,shopify,deny,manual,179.99,210.00,true,true,https://images.unsplash.com/photo-1513694203232-719a280e022f?w=800&h=800&fit=crop,1,Industrial Bookshelf 5-Tier,false,Industrial Bookshelf 5-Tier,"Metal and wood industrial bookshelf. 5 tiers for books, plants, and display.",active
industrial-bookshelf-5-tier,,,,,,,true,Finish,Black/Walnut,,,,,INDUSTRI-002,200,shopify,deny,manual,179.99,210.00,true,true,,,,false,,,active
coffee-table-marble-top,Coffee Table Marble Top,<p>Round marble-top coffee table with brass legs. Elegant centerpiece for your living room.</p>,FlexiHome,,Living Room,"furniture, decor, living-room, coffee-table, marble, new-arrivals",true,Marble,White,,,,,COFFEET-001,200,shopify,deny,manual,249.99,,true,true,https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=800&h=800&fit=crop,1,Coffee Table Marble Top,false,Coffee Table Marble Top,Round marble-top coffee table with brass legs. Elegant centerpiece for your living room.,active
coffee-table-marble-top,,,,,,,true,Marble,Green,,,,,COFFEET-002,200,shopify,deny,manual,249.99,,true,true,,,,false,,,active
coffee-table-marble-top,,,,,,,true,Marble,Black,,,,,COFFEET-003,200,shopify,deny,manual,249.99,,true,true,,,,false,,,active
rattan-pendant-light,Rattan Pendant Light,<p>Handwoven rattan pendant light with warm ambient glow. Bohemian chic statement.</p>,FlexiHome,,Home Decor,"furniture, decor, home-decor, lighting, rattan, boho, sale",true,Size,Small 12 in,,,,,RATTANP-001,200,shopify,deny,manual,69.99,82.00,true,true,https://images.unsplash.com/photo-1513694203232-719a280e022f?w=800&h=800&fit=crop,1,Rattan Pendant Light,false,Rattan Pendant Light,Handwoven rattan pendant light with warm ambient glow. Bohemian chic statement.,active
rattan-pendant-light,,,,,,,true,Size,Medium 16 in,,,,,RATTANP-002,200,shopify,deny,manual,69.99,82.00,true,true,,,,false,,,active
rattan-pendant-light,,,,,,,true,Size,Large 20 in,,,,,RATTANP-003,200,shopify,deny,manual,69.99,82.00,true,true,,,,false,,,active
