Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
dainty-gold-chain-necklace,Dainty Gold Chain Necklace,<p>18K gold-plated chain necklace with minimalist pendant. Hypoallergenic and tarnish-resistant.</p>,FlexiLux,,Necklaces,"jewelry, accessories, necklaces, gold, dainty, best-sellers, sale",true,Length,16 inch,,,,,DAINTYG-001,200,shopify,deny,manual,42.99,55.00,true,true,https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?w=800&h=800&fit=crop,1,Dainty Gold Chain Necklace,false,Dainty Gold Chain Necklace,18K gold-plated chain necklace with minimalist pendant. Hypoallergenic and tarnish-resistant.,active
dainty-gold-chain-necklace,,,,,,,true,Length,18 inch,,,,,DAINTYG-002,200,shopify,deny,manual,42.99,55.00,true,true,,,,false,,,active
dainty-gold-chain-necklace,,,,,,,true,Length,20 inch,,,,,DAINTYG-003,200,shopify,deny,manual,42.99,55.00,true,true,,,,false,,,active
sterling-silver-stacking-rings-set,Sterling Silver Stacking Rings Set,<p>Set of 3 sterling silver stacking rings with different textures.</p>,FlexiLux,,Rings,"jewelry, accessories, rings, silver, stacking, best-sellers",true,Size,5,,,,,STERLING-001,200,shopify,deny,manual,38.99,,true,true,https://images.unsplash.com/photo-1605100804763-247f67b3557e?w=800&h=800&fit=crop,1,Sterling Silver Stacking Rings Set,false,Sterling Silver Stacking Rings Set,Set of 3 sterling silver stacking rings with different textures.,active
sterling-silver-stacking-rings-set,,,,,,,true,Size,6,,,,,STERLING-002,200,shopify,deny,manual,38.99,,true,true,,,,false,,,active
sterling-silver-stacking-rings-set,,,,,,,true,Size,7,,,,,STERLING-003,200,shopify,deny,manual,38.99,,true,true,,,,false,,,active
sterling-silver-stacking-rings-set,,,,,,,true,Size,8,,,,,STERLING-004,200,shopify,deny,manual,38.99,,true,true,,,,false,,,active
pearl-drop-earrings,Pearl Drop Earrings,<p>Freshwater pearl drop earrings with 18K gold-plated hooks. Timeless elegance.</p>,FlexiLux,,Earrings,"jewelry, accessories, earrings, pearl, drop, sale",true,Type,Small Pearl,,,,,PEARLDR-001,200,shopify,deny,manual,34.99,45.00,true,true,https://images.unsplash.com/photo-1535632787350-4e68ef0ac584?w=800&h=800&fit=crop,1,Pearl Drop Earrings,false,Pearl Drop Earrings,Freshwater pearl drop earrings with 18K gold-plated hooks. Timeless elegance.,active
pearl-drop-earrings,,,,,,,true,Type,Large Pearl,,,,,PEARLDR-002,200,shopify,deny,manual,34.99,45.00,true,true,,,,false,,,active
layered-chain-bracelet,Layered Chain Bracelet,<p>Multi-strand gold chain bracelet with adjustable clasp. Instant elegance.</p>,FlexiLux,,Bracelets,"jewelry, accessories, bracelets, gold, layered, new-arrivals",true,Material,Gold-Plated,,,,,LAYERED-001,200,shopify,deny,manual,29.99,,true,true,https://images.unsplash.com/photo-1611591437281-460bfbe1220a?w=800&h=800&fit=crop,1,Layered Chain Bracelet,false,Layered Chain Bracelet,Multi-strand gold chain bracelet with adjustable clasp. Instant elegance.,active
layered-chain-bracelet,,,,,,,true,Material,Silver,,,,,LAYERED-002,200,shopify,deny,manual,29.99,,true,true,,,,false,,,active
cubic-zirconia-stud-earrings,Cubic Zirconia Stud Earrings,<p>Brilliant CZ stud earrings in classic four-prong setting. Everyday sparkle.</p>,FlexiLux,,Earrings,"jewelry, accessories, earrings, studs, cz, everyday, sale",true,Size,4mm,Metal,Silver,,,CUBICZI-001,200,shopify,deny,manual,24.99,32.00,true,true,https://images.unsplash.com/photo-1603561591411-07134e71a2a9?w=800&h=800&fit=crop,1,Cubic Zirconia Stud Earrings,false,Cubic Zirconia Stud Earrings,Brilliant CZ stud earrings in classic four-prong setting. Everyday sparkle.,active
