Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
non-stick-cookware-set-10pc,Non-Stick Cookware Set 10pc,"<p>10-piece ceramic non-stick cookware set. PFOA-free, oven-safe to 450°F, dishwasher safe.</p>",FlexiChef,,Cookware,"kitchen, home, cookware, non-stick, pots, pans, best-sellers, sale",true,Color,Grey,,,,,NONSTIC-001,200,shopify,deny,manual,129.99,160.00,true,true,https://images.unsplash.com/photo-1556909114-f6e7ad7d3136?w=800&h=800&fit=crop,1,Non-Stick Cookware Set 10pc,false,Non-Stick Cookware Set 10pc,"10-piece ceramic non-stick cookware set. PFOA-free, oven-safe to 450°F, dishwasher safe.",active
non-stick-cookware-set-10pc,,,,,,,true,Color,Cream,,,,,NONSTIC-002,200,shopify,deny,manual,129.99,160.00,true,true,,,,false,,,active
non-stick-cookware-set-10pc,,,,,,,true,Color,Navy,,,,,NONSTIC-003,200,shopify,deny,manual,129.99,160.00,true,true,,,,false,,,active
chef-s-knife-8-inch,Chef's Knife 8-inch,<p>High-carbon stainless steel chef knife with ergonomic pakkawood handle. Razor sharp.</p>,FlexiChef,,Knives,"kitchen, home, knives, chef-knife, stainless-steel, best-sellers",true,Size,6 inch,,,,,CHEFSK-001,200,shopify,deny,manual,49.99,,true,true,https://images.unsplash.com/photo-1556910103-1c02745aae4d?w=800&h=800&fit=crop,1,Chef's Knife 8-inch,false,Chef's Knife 8-inch,High-carbon stainless steel chef knife with ergonomic pakkawood handle. Razor sharp.,active
chef-s-knife-8-inch,,,,,,,true,Size,8 inch,,,,,CHEFSK-002,200,shopify,deny,manual,49.99,,true,true,,,,false,,,active
bamboo-cutting-board-set,Bamboo Cutting Board Set,<p>Set of 3 organic bamboo cutting boards with juice grooves. Knife-friendly surface.</p>,FlexiChef,,Utensils,"kitchen, home, utensils, cutting-board, bamboo, eco, sale",true,Set,3-Piece,,,,,BAMBOOC-001,200,shopify,deny,manual,29.99,36.00,true,true,https://images.unsplash.com/photo-1590794056226-79ef3a8147e1?w=800&h=800&fit=crop,1,Bamboo Cutting Board Set,false,Bamboo Cutting Board Set,Set of 3 organic bamboo cutting boards with juice grooves. Knife-friendly surface.,active
glass-food-storage-set-20pc,Glass Food Storage Set 20pc,"<p>Borosilicate glass containers with leak-proof lids. Microwave, freezer, and oven safe.</p>",FlexiChef,,Storage,"kitchen, home, storage, glass, meal-prep, containers, sale",true,Set,10-Piece,,,,,GLASSFO-001,200,shopify,deny,manual,39.99,48.00,true,true,https://images.unsplash.com/photo-1610701596007-11502861dcfa?w=800&h=800&fit=crop,1,Glass Food Storage Set 20pc,false,Glass Food Storage Set 20pc,"Borosilicate glass containers with leak-proof lids. Microwave, freezer, and oven safe.",active
glass-food-storage-set-20pc,,,,,,,true,Set,20-Piece,,,,,GLASSFO-002,200,shopify,deny,manual,39.99,48.00,true,true,,,,false,,,active
cast-iron-skillet-12-inch,Cast Iron Skillet 12-inch,<p>Pre-seasoned cast iron skillet for perfect searing. Gets better with every use.</p>,FlexiChef,,Cookware,"kitchen, home, cookware, cast-iron, skillet, best-sellers",true,Size,10 inch,,,,,CASTIRO-001,200,shopify,deny,manual,44.99,,true,true,https://images.unsplash.com/photo-1556909114-f6e7ad7d3136?w=800&h=800&fit=crop,1,Cast Iron Skillet 12-inch,false,Cast Iron Skillet 12-inch,Pre-seasoned cast iron skillet for perfect searing. Gets better with every use.,active
cast-iron-skillet-12-inch,,,,,,,true,Size,12 inch,,,,,CASTIRO-002,200,shopify,deny,manual,44.99,,true,true,,,,false,,,active
silicone-utensil-set-12pc,Silicone Utensil Set 12pc,<p>Heat-resistant silicone utensils with wooden handles. Won't scratch non-stick surfaces.</p>,FlexiChef,,Utensils,"kitchen, home, utensils, silicone, cooking-tools, sale",true,Color,Black,,,,,SILICONE-001,200,shopify,deny,manual,24.99,30.00,true,true,https://images.unsplash.com/photo-1590794056226-79ef3a8147e1?w=800&h=800&fit=crop,1,Silicone Utensil Set 12pc,false,Silicone Utensil Set 12pc,Heat-resistant silicone utensils with wooden handles. Won't scratch non-stick surfaces.,active
silicone-utensil-set-12pc,,,,,,,true,Color,Grey,,,,,SILICONE-002,200,shopify,deny,manual,24.99,30.00,true,true,,,,false,,,active
silicone-utensil-set-12pc,,,,,,,true,Color,Teal,,,,,SILICONE-003,200,shopify,deny,manual,24.99,30.00,true,true,,,,false,,,active
pour-over-coffee-maker,Pour-Over Coffee Maker,<p>Elegant borosilicate glass pour-over coffee maker with reusable steel filter.</p>,FlexiChef,,Beverages,"kitchen, home, beverages, coffee, pour-over, new-arrivals",true,Size,3 Cup,,,,,POUROVE-001,200,shopify,deny,manual,34.99,,true,true,https://images.unsplash.com/photo-1556909114-f6e7ad7d3136?w=800&h=800&fit=crop,1,Pour-Over Coffee Maker,false,Pour-Over Coffee Maker,Elegant borosilicate glass pour-over coffee maker with reusable steel filter.,active
pour-over-coffee-maker,,,,,,,true,Size,6 Cup,,,,,POUROVE-002,200,shopify,deny,manual,34.99,,true,true,,,,false,,,active
stainless-steel-mixing-bowls,Stainless Steel Mixing Bowls,<p>Set of 5 nesting mixing bowls with non-slip bases and measurement markings.</p>,FlexiChef,,Baking,"kitchen, home, baking, mixing-bowls, stainless-steel, sale",true,Set,5-Piece,,,,,STAINLES-001,200,shopify,deny,manual,27.99,34.00,true,true,https://images.unsplash.com/photo-1556910103-1c02745aae4d?w=800&h=800&fit=crop,1,Stainless Steel Mixing Bowls,false,Stainless Steel Mixing Bowls,Set of 5 nesting mixing bowls with non-slip bases and measurement markings.,active
electric-spice-grinder,Electric Spice Grinder,"<p>One-touch electric grinder for spices, herbs, and coffee beans. Stainless steel blades.</p>",FlexiChef,,Appliances,"kitchen, home, appliances, spice-grinder, electric",true,Color,Silver,,,,,ELECTRIC-001,200,shopify,deny,manual,22.99,,true,true,https://images.unsplash.com/photo-1610701596007-11502861dcfa?w=800&h=800&fit=crop,1,Electric Spice Grinder,false,Electric Spice Grinder,"One-touch electric grinder for spices, herbs, and coffee beans. Stainless steel blades.",active
electric-spice-grinder,,,,,,,true,Color,Black,,,,,ELECTRIC-002,200,shopify,deny,manual,22.99,,true,true,,,,false,,,active
baking-sheet-rack-set,Baking Sheet & Rack Set,<p>Heavy-duty aluminum baking sheets with cooling racks. Warp-resistant at high temps.</p>,FlexiChef,,Baking,"kitchen, home, baking, sheet-pan, baking-rack, sale",true,Size,Half Sheet,,,,,BAKINGS-001,200,shopify,deny,manual,19.99,24.00,true,true,https://images.unsplash.com/photo-1556910103-1c02745aae4d?w=800&h=800&fit=crop,1,Baking Sheet & Rack Set,false,Baking Sheet & Rack Set,Heavy-duty aluminum baking sheets with cooling racks. Warp-resistant at high temps.,active
baking-sheet-rack-set,,,,,,,true,Size,Quarter Sheet,,,,,BAKINGS-002,200,shopify,deny,manual,19.99,24.00,true,true,,,,false,,,active
digital-kitchen-scale,Digital Kitchen Scale,<p>Precise digital kitchen scale with tare function. Essential for perfect baking.</p>,FlexiChef,,Gadgets,"kitchen, home, gadgets, scale, digital, baking, best-sellers",true,Color,Silver,,,,,DIGITAL-001,200,shopify,deny,manual,18.99,,true,true,https://images.unsplash.com/photo-1583394838336-acd977736f90?w=800&h=800&fit=crop,1,Digital Kitchen Scale,false,Digital Kitchen Scale,Precise digital kitchen scale with tare function. Essential for perfect baking.,active
digital-kitchen-scale,,,,,,,true,Color,Black,,,,,DIGITAL-002,200,shopify,deny,manual,18.99,,true,true,,,,false,,,active
digital-kitchen-scale,,,,,,,true,Color,White,,,,,DIGITAL-003,200,shopify,deny,manual,18.99,,true,true,,,,false,,,active
