Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
organic-dog-treats-peanut-butter,Organic Dog Treats Peanut Butter,"<p>All-natural organic dog treats with real peanut butter. No fillers, no artificial flavors.</p>",FlexiPaw,,Dog Treats,"pets, pet-supplies, dog, treats, organic, peanut-butter, best-sellers, sale",true,Size,100g,,,,,ORGANIC-001,200,shopify,deny,manual,14.99,18.00,true,true,https://images.unsplash.com/photo-1568640347023-a616a30bc3bd?w=800&h=800&fit=crop,1,Organic Dog Treats Peanut Butter,false,Organic Dog Treats Peanut Butter,"All-natural organic dog treats with real peanut butter. No fillers, no artificial flavors.",active
organic-dog-treats-peanut-butter,,,,,,,true,Size,250g,,,,,ORGANIC-002,200,shopify,deny,manual,14.99,18.00,true,true,,,,false,,,active
organic-dog-treats-peanut-butter,,,,,,,true,Size,500g,,,,,ORGANIC-003,200,shopify,deny,manual,14.99,18.00,true,true,,,,false,,,active
interactive-cat-feather-toy,Interactive Cat Feather Toy,<p>Retractable feather wand toy. Triggers natural hunting instincts for hours of fun.</p>,FlexiPaw,,Cat Toys,"pets, pet-supplies, cat, toys, interactive, feather",true,Color,Blue,,,,,INTERACT-001,200,shopify,deny,manual,12.99,,true,true,https://images.unsplash.com/photo-1545249390-6bdfa286032f?w=800&h=800&fit=crop,1,Interactive Cat Feather Toy,false,Interactive Cat Feather Toy,Retractable feather wand toy. Triggers natural hunting instincts for hours of fun.,active
interactive-cat-feather-toy,,,,,,,true,Color,Pink,,,,,INTERACT-002,200,shopify,deny,manual,12.99,,true,true,,,,false,,,active
interactive-cat-feather-toy,,,,,,,true,Color,Green,,,,,INTERACT-003,200,shopify,deny,manual,12.99,,true,true,,,,false,,,active
memory-foam-dog-bed,Memory Foam Dog Bed,<p>Orthopedic memory foam dog bed with removable washable cover.</p>,FlexiPaw,,Dog Beds,"pets, pet-supplies, dog, beds, memory-foam, orthopedic, best-sellers, sale",true,Size,Small,,,,,MEMORYF-001,200,shopify,deny,manual,59.99,75.00,true,true,https://images.unsplash.com/photo-1601758228041-f3b2795255f1?w=800&h=800&fit=crop,1,Memory Foam Dog Bed,false,Memory Foam Dog Bed,Orthopedic memory foam dog bed with removable washable cover.,active
memory-foam-dog-bed,,,,,,,true,Size,Medium,,,,,MEMORYF-002,200,shopify,deny,manual,59.99,75.00,true,true,,,,false,,,active
memory-foam-dog-bed,,,,,,,true,Size,Large,,,,,MEMORYF-003,200,shopify,deny,manual,59.99,75.00,true,true,,,,false,,,active
memory-foam-dog-bed,,,,,,,true,Size,XL,,,,,MEMORYF-004,200,shopify,deny,manual,59.99,75.00,true,true,,,,false,,,active
