Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
urban-runner-sneakers,Urban Runner Sneakers,<p>Lightweight running sneakers with cushioned sole and breathable mesh upper for all-day comfort.</p>,FlexiStep,,Sneakers,"shoes, footwear, sneakers, running, men, sale, best-sellers",true,Color,White,Size,8,,,URBANRU-001,200,shopify,deny,manual,79.99,99.99,true,true,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=800&h=800&fit=crop,1,Urban Runner Sneakers,false,Urban Runner Sneakers,Lightweight running sneakers with cushioned sole and breathable mesh upper for all-day comfort.,active
urban-runner-sneakers,,,,,,,true,Color,White,Size,9,,,URBANRU-002,200,shopify,deny,manual,79.99,99.99,true,true,,,,false,,,active
urban-runner-sneakers,,,,,,,true,Color,White,Size,10,,,URBANRU-003,200,shopify,deny,manual,79.99,99.99,true,true,,,,false,,,active
urban-runner-sneakers,,,,,,,true,Color,White,Size,11,,,URBANRU-004,200,shopify,deny,manual,79.99,99.99,true,true,,,,false,,,active
urban-runner-sneakers,,,,,,,true,Color,White,Size,12,,,URBANRU-005,200,shopify,deny,manual,79.99,99.99,true,true,,,,false,,,active
urban-runner-sneakers,,,,,,,true,Color,Black,Size,8,,,URBANRU-006,200,shopify,deny,manual,79.99,99.99,true,true,,,,false,,,active
urban-runner-sneakers,,,,,,,true,Color,Black,Size,9,,,URBANRU-007,200,shopify,deny,manual,79.99,99.99,true,true,,,,false,,,active
urban-runner-sneakers,,,,,,,true,Color,Black,Size,10,,,URBANRU-008,200,shopify,deny,manual,79.99,99.99,true,true,,,,false,,,active
urban-runner-sneakers,,,,,,,true,Color,Black,Size,11,,,URBANRU-009,200,shopify,deny,manual,79.99,99.99,true,true,,,,false,,,active
urban-runner-sneakers,,,,,,,true,Color,Black,Size,12,,,URBANRU-010,200,shopify,deny,manual,79.99,99.99,true,true,,,,false,,,active
urban-runner-sneakers,,,,,,,true,Color,Grey,Size,8,,,URBANRU-011,200,shopify,deny,manual,79.99,99.99,true,true,,,,false,,,active
urban-runner-sneakers,,,,,,,true,Color,Grey,Size,9,,,URBANRU-012,200,shopify,deny,manual,79.99,99.99,true,true,,,,false,,,active
urban-runner-sneakers,,,,,,,true,Color,Grey,Size,10,,,URBANRU-013,200,shopify,deny,manual,79.99,99.99,true,true,,,,false,,,active
