Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
premium-yoga-mat-6mm,Premium Yoga Mat 6mm,<p>Non-slip TPE yoga mat with alignment lines. Extra-thick for joint protection.</p>,FlexiFit,,Yoga,"sports, fitness, yoga, mat, non-slip, best-sellers, sale",true,Color,Purple,,,,,PREMIUM-001,200,shopify,deny,manual,39.99,50.00,true,true,https://images.unsplash.com/photo-1576678927484-cc907957088c?w=800&h=800&fit=crop,1,Premium Yoga Mat 6mm,false,Premium Yoga Mat 6mm,Non-slip TPE yoga mat with alignment lines. Extra-thick for joint protection.,active
premium-yoga-mat-6mm,,,,,,,true,Color,Teal,,,,,PREMIUM-002,200,shopify,deny,manual,39.99,50.00,true,true,,,,false,,,active
premium-yoga-mat-6mm,,,,,,,true,Color,Black,,,,,PREMIUM-003,200,shopify,deny,manual,39.99,50.00,true,true,,,,false,,,active
premium-yoga-mat-6mm,,,,,,,true,Color,Pink,,,,,PREMIUM-004,200,shopify,deny,manual,39.99,50.00,true,true,,,,false,,,active
adjustable-dumbbell-set,Adjustable Dumbbell Set,<p>Adjustable dumbbells 5-52.5 lbs each. Replaces 15 sets of weights in one.</p>,FlexiFit,,Weights,"sports, fitness, weights, dumbbells, strength, home-gym, sale",true,Set,Single,,,,,ADJUSTAB-001,200,shopify,deny,manual,149.99,180.00,true,true,https://images.unsplash.com/photo-1517836357463-d25dfeac3438?w=800&h=800&fit=crop,1,Adjustable Dumbbell Set,false,Adjustable Dumbbell Set,Adjustable dumbbells 5-52.5 lbs each. Replaces 15 sets of weights in one.,active
adjustable-dumbbell-set,,,,,,,true,Set,Pair,,,,,ADJUSTAB-002,200,shopify,deny,manual,149.99,180.00,true,true,,,,false,,,active
resistance-bands-set-5pc,Resistance Bands Set 5pc,"<p>5 resistance levels with door anchor, handles, and ankle straps. Full body workouts.</p>",FlexiFit,,Accessories,"sports, fitness, accessories, resistance-bands, rehab, best-sellers, sale",true,Set,Standard,,,,,RESISTAN-001,200,shopify,deny,manual,19.99,26.00,true,true,https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?w=800&h=800&fit=crop,1,Resistance Bands Set 5pc,false,Resistance Bands Set 5pc,"5 resistance levels with door anchor, handles, and ankle straps. Full body workouts.",active
resistance-bands-set-5pc,,,,,,,true,Set,Heavy Duty,,,,,RESISTAN-002,200,shopify,deny,manual,19.99,26.00,true,true,,,,false,,,active
running-compression-leggings,Running Compression Leggings,<p>High-waist compression leggings with side pockets. Moisture-wicking 4-way stretch.</p>,FlexiFit,,Apparel,"sports, fitness, apparel, leggings, running, women, best-sellers",true,Color,Black,Size,XS,,,RUNNING-001,200,shopify,deny,manual,44.99,,true,true,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?w=800&h=800&fit=crop,1,Running Compression Leggings,false,Running Compression Leggings,High-waist compression leggings with side pockets. Moisture-wicking 4-way stretch.,active
running-compression-leggings,,,,,,,true,Color,Black,Size,S,,,RUNNING-002,200,shopify,deny,manual,44.99,,true,true,,,,false,,,active
running-compression-leggings,,,,,,,true,Color,Black,Size,M,,,RUNNING-003,200,shopify,deny,manual,44.99,,true,true,,,,false,,,active
running-compression-leggings,,,,,,,true,Color,Black,Size,L,,,RUNNING-004,200,shopify,deny,manual,44.99,,true,true,,,,false,,,active
running-compression-leggings,,,,,,,true,Color,Black,Size,XL,,,RUNNING-005,200,shopify,deny,manual,44.99,,true,true,,,,false,,,active
running-compression-leggings,,,,,,,true,Color,Navy,Size,XS,,,RUNNING-006,200,shopify,deny,manual,44.99,,true,true,,,,false,,,active
running-compression-leggings,,,,,,,true,Color,Navy,Size,S,,,RUNNING-007,200,shopify,deny,manual,44.99,,true,true,,,,false,,,active
running-compression-leggings,,,,,,,true,Color,Navy,Size,M,,,RUNNING-008,200,shopify,deny,manual,44.99,,true,true,,,,false,,,active
running-compression-leggings,,,,,,,true,Color,Navy,Size,L,,,RUNNING-009,200,shopify,deny,manual,44.99,,true,true,,,,false,,,active
running-compression-leggings,,,,,,,true,Color,Navy,Size,XL,,,RUNNING-010,200,shopify,deny,manual,44.99,,true,true,,,,false,,,active
running-compression-leggings,,,,,,,true,Color,Grey,Size,XS,,,RUNNING-011,200,shopify,deny,manual,44.99,,true,true,,,,false,,,active
running-compression-leggings,,,,,,,true,Color,Grey,Size,S,,,RUNNING-012,200,shopify,deny,manual,44.99,,true,true,,,,false,,,active
running-compression-leggings,,,,,,,true,Color,Grey,Size,M,,,RUNNING-013,200,shopify,deny,manual,44.99,,true,true,,,,false,,,active
running-compression-leggings,,,,,,,true,Color,Grey,Size,L,,,RUNNING-014,200,shopify,deny,manual,44.99,,true,true,,,,false,,,active
running-compression-leggings,,,,,,,true,Color,Grey,Size,XL,,,RUNNING-015,200,shopify,deny,manual,44.99,,true,true,,,,false,,,active
running-compression-leggings,,,,,,,true,Color,Wine,Size,XS,,,RUNNING-016,200,shopify,deny,manual,44.99,,true,true,,,,false,,,active
running-compression-leggings,,,,,,,true,Color,Wine,Size,S,,,RUNNING-017,200,shopify,deny,manual,44.99,,true,true,,,,false,,,active
running-compression-leggings,,,,,,,true,Color,Wine,Size,M,,,RUNNING-018,200,shopify,deny,manual,44.99,,true,true,,,,false,,,active
running-compression-leggings,,,,,,,true,Color,Wine,Size,L,,,RUNNING-019,200,shopify,deny,manual,44.99,,true,true,,,,false,,,active
running-compression-leggings,,,,,,,true,Color,Wine,Size,XL,,,RUNNING-020,200,shopify,deny,manual,44.99,,true,true,,,,false,,,active
